문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,실수와 그 연산,표현 해석,표현 해석,근거 제시,표준,객관식,2,총괄 기본,4,④
2,실수와 그 연산,공식 활용,공식 활용,근거 제시,상,객관식,3,단원 TEST Ⅰ,4,⑤
3,실수와 그 연산,개념 이해,개념 이해,근거 제시,상,객관식,3,단원 TEST Ⅰ,8,④
4,실수와 그 연산,연산 처리,연산 처리,표현 해석,상,객관식,3,단원 TEST Ⅰ,10,③
5,실수와 그 연산,식 설정,식 설정,개념 이해,상,객관식,3,단원 TEST Ⅰ,16,④ 5k + 5
6,실수와 그 연산,식 설정,식 설정,연산 처리,상,객관식,3,중3-1 입학 심화형,21,① 1
7,실수와 그 연산,단계별 해결,단계별 해결,규칙 발견,최상,주관식,5,단원 TEST Ⅰ,19,52
8,실수와 그 연산,근거 제시,근거 제시,개념 이해,최상,객관식,4,총괄 심화,5,①
9,다항식의 곱셈과 인수분해,공식 활용,공식 활용,근거 제시,표준,객관식,2,단원 TEST Ⅱ,1,④
10,다항식의 곱셈과 인수분해,식 설정,식 설정,단계별 해결,상,객관식,3,단원 TEST Ⅱ,10,① -7
11,다항식의 곱셈과 인수분해,개념 이해,개념 이해,근거 제시,상,객관식,3,총괄 응용,8,"② ㄱ, ㄴ, ㅁ"
12,다항식의 곱셈과 인수분해,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,중3-1 입학 심화형,7,① -16
13,다항식의 곱셈과 인수분해,규칙 발견,규칙 발견,연산 처리,최상,객관식,4,중3-1 입학 심화형,8,⑤ -2
14,다항식의 곱셈과 인수분해,규칙 발견,규칙 발견,공식 활용,최상,주관식,5,총괄 응용,23,12
15,이차방정식,개념 이해,개념 이해,연산 처리,표준,객관식,2,단원 TEST Ⅲ,2,③
16,이차방정식,공식 활용,공식 활용,근거 제시,상,객관식,3,단원 TEST Ⅲ,4,⑤
17,이차방정식,규칙 발견,규칙 발견,연산 처리,상,객관식,3,단원 TEST Ⅲ,7,③ x = 0 또는 x = 7
18,이차방정식,연산 처리,연산 처리,개념 이해,상,객관식,3,중3-1 입학 심화형,11,⑤ 4
19,이차방정식,표현 해석,표현 해석,연산 처리,상,객관식,3,총괄 응용,14,② 6초
20,이차방정식,표현 해석,표현 해석,연산 처리,상,주관식,4,중3-1 입학 일반형,27,13
21,이차방정식,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,총괄 기본,14,⑤ 10
22,이차방정식,공식 활용,공식 활용,규칙 발견,최상,주관식,5,단원 TEST Ⅲ,18,10
23,이차함수,연산 처리,연산 처리,개념 이해,표준,객관식,2,단원 TEST Ⅳ,14,"⑤ (0, 7)"
24,이차함수,개념 이해,개념 이해,근거 제시,표준,객관식,2,총괄 응용,16,③
25,이차함수,표현 해석,표현 해석,단계별 해결,상,객관식,3,단원 TEST Ⅳ,3,④ 제4사분면
26,이차함수,식 설정,식 설정,표현 해석,상,객관식,3,단원 TEST Ⅳ,10,③ 1
27,이차함수,식 설정,식 설정,단계별 해결,상,객관식,3,단원 TEST Ⅳ,12,② 6
28,이차함수,단계별 해결,단계별 해결,표현 해석,최상,주관식,5,총괄 심화,28,12
29,이차함수,근거 제시,근거 제시,단계별 해결,최상,객관식,4,총괄 심화,29,⑤ y = -(5/2)x + 5
30,이차함수,근거 제시,근거 제시,표현 해석,최상,객관식,4,총괄 응용,20,①
