문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,유리수와 순환소수,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅰ,7,⑤ 4.3272727... → 27
2,유리수와 순환소수,식 설정,식 설정,개념 이해,표준,객관식,2,총괄 심화,2,③ 51
3,유리수와 순환소수,공식 활용,공식 활용,근거 제시,상,객관식,3,단원 TEST Ⅰ,13,② 5.141414... = 509/990
4,유리수와 순환소수,근거 제시,근거 제시,공식 활용,상,객관식,3,단원 TEST Ⅰ,19,"⑤ ㄴ, ㄷ, ㅁ"
5,유리수와 순환소수,규칙 발견,규칙 발견,연산 처리,최상,서술형,5,중2-1 입학 일반형,22,356
6,식의 계산,단계별 해결,단계별 해결,연산 처리,상,서술형,4,총괄 기본,7,-6004
7,식의 계산,식 설정,식 설정,연산 처리,상,객관식,3,단원 TEST Ⅱ,7,② 3x^2y^2
8,식의 계산,개념 이해,개념 이해,연산 처리,상,객관식,3,단원 TEST Ⅱ,20,① a = bc/(b+c)
9,식의 계산,공식 활용,공식 활용,연산 처리,상,객관식,3,중2-1 입학 일반형,4,④ a^3 × a^2 ÷ a^7
10,식의 계산,식 설정,식 설정,연산 처리,최상,객관식,4,단원 TEST Ⅱ,16,② (5/4)b - 1/4
11,식의 계산,단계별 해결,단계별 해결,연산 처리,최상,객관식,4,총괄 응용,8,③ 12
12,부등식,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅲ,2,④ -7a - 1 < -7b - 1
13,부등식,표현 해석,표현 해석,근거 제시,상,객관식,3,단원 TEST Ⅲ,1,"①, ④"
14,부등식,표현 해석,표현 해석,연산 처리,상,객관식,3,단원 TEST Ⅲ,6,⑤ -x > 2x + 3
15,부등식,연산 처리,연산 처리,근거 제시,상,객관식,3,중2-1 입학 심화형,9,② x - 4x > -6
16,부등식,근거 제시,근거 제시,단계별 해결,최상,객관식,4,총괄 기본,9,④ 11
17,부등식,규칙 발견,규칙 발견,식 설정,최상,서술형,5,중2-1 입학 일반형,25,240g
18,방정식,개념 이해,개념 이해,연산 처리,표준,객관식,2,단원 TEST Ⅳ,2,④ 0
19,방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,총괄 기본,12,② -2
20,방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,단원 TEST Ⅳ,5,"① x = 8, y = 6"
21,방정식,개념 이해,개념 이해,공식 활용,상,객관식,3,단원 TEST Ⅳ,10,④ 4
22,방정식,규칙 발견,규칙 발견,단계별 해결,최상,서술형,5,총괄 기본,13,8
23,방정식,식 설정,식 설정,단계별 해결,최상,객관식,4,중2-1 입학 심화형,28,④ 500g
24,일차함수,표현 해석,표현 해석,개념 이해,표준,객관식,2,단원 TEST Ⅴ,7,③
25,일차함수,공식 활용,공식 활용,표현 해석,상,서술형,4,단원 TEST Ⅴ,5,2
26,일차함수,단계별 해결,단계별 해결,공식 활용,상,객관식,3,단원 TEST Ⅴ,11,① -12
27,일차함수,단계별 해결,단계별 해결,표현 해석,상,객관식,3,중2-1 입학 일반형,20,⑤ 25
28,일차함수,근거 제시,근거 제시,개념 이해,최상,객관식,4,단원 TEST Ⅴ,15,"⑤ a = 0, b < 0"
29,일차함수,식 설정,식 설정,표현 해석,최상,객관식,4,중2-1 입학 일반형,19,② 10초
30,일차함수,근거 제시,근거 제시,단계별 해결,최상,객관식,4,중2-1 입학 일반형,29,"④ (3, 3)"
