문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,도형의 성질,공식 활용,공식 활용,표현 해석,표준,객관식,2,총괄 기본,5,③ 50°
2,도형의 성질,연산 처리,공식 활용,연산 처리,표준,서술형,3,총괄 기본,3,133°
3,도형의 성질,근거 제시,근거 제시,공식 활용,상,객관식,3,총괄 기본,4,③ 8cm
4,도형의 성질,근거 제시,근거 제시,규칙 발견,상,객관식,3,총괄 응용,5,⑤
5,도형의 성질,개념 이해,개념 이해,근거 제시,상,객관식,3,중2-2 입학 일반형,6,④
6,도형의 성질,식 설정,식 설정,단계별 해결,최상,객관식,4,총괄 심화,2,④ 60°
7,도형의 성질,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,중2-2 입학 일반형,20,① 10°
8,도형의 성질,규칙 발견,규칙 발견,근거 제시,최상,서술형,5,단원 TEST Ⅵ,4,22cm²
9,도형의 닮음,연산 처리,공식 활용,연산 처리,표준,서술형,3,총괄 기본,14,65
10,도형의 닮음,개념 이해,개념 이해,근거 제시,상,객관식,3,총괄 기본,6,⑤
11,도형의 닮음,규칙 발견,규칙 발견,연산 처리,상,객관식,3,총괄 기본,9,"② ㄱ, ㄹ"
12,도형의 닮음,식 설정,식 설정,연산 처리,상,객관식,3,단원 TEST Ⅶ,13,② 4cm²
13,도형의 닮음,공식 활용,공식 활용,개념 이해,상,객관식,3,단원 TEST Ⅶ,16,"③, ④"
14,도형의 닮음,표현 해석,표현 해석,공식 활용,상,객관식,3,단원 TEST Ⅶ,20,⑤ 17
15,도형의 닮음,표현 해석,표현 해석,연산 처리,상,객관식,3,총괄 심화,11,② 3.2m
16,도형의 닮음,근거 제시,근거 제시,개념 이해,상,객관식,3,중2-2 입학 심화형,6,"② △ABC∽△DBA, SAS 닮음"
17,도형의 닮음,공식 활용,공식 활용,단계별 해결,상,객관식,3,총괄 응용,7,⑤ 150
18,도형의 닮음,개념 이해,개념 이해,근거 제시,상,객관식,3,중2-2 입학 일반형,10,⑤
19,도형의 닮음,식 설정,식 설정,공식 활용,최상,객관식,4,총괄 기본,10,② 5
20,도형의 닮음,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,단원 TEST Ⅶ,8,② 12cm²
21,도형의 닮음,근거 제시,근거 제시,공식 활용,최상,객관식,4,단원 TEST Ⅶ,14,③ 81/2 cm²
22,도형의 닮음,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,총괄 응용,25,② 4배
23,도형의 닮음,규칙 발견,규칙 발견,식 설정,최상,서술형,5,총괄 응용,14,32
24,확률,공식 활용,공식 활용,개념 이해,표준,객관식,2,단원 TEST Ⅷ,6,④ 20
25,확률,공식 활용,공식 활용,개념 이해,표준,객관식,2,총괄 응용,16,③ 120
26,확률,표현 해석,표현 해석,단계별 해결,상,객관식,3,단원 TEST Ⅷ,8,⑤ 30
27,확률,연산 처리,공식 활용,연산 처리,상,객관식,3,단원 TEST Ⅷ,13,⑤ 3/4
28,확률,개념 이해,개념 이해,연산 처리,상,객관식,3,중2-2 입학 심화형,16,⑤
29,확률,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,총괄 응용,20,③ 5/16
30,확률,단계별 해결,단계별 해결,규칙 발견,최상,서술형,5,단원 TEST Ⅷ,10,2/5
