시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중1-2 진단평가,수학,1,기본 도형과 작도,개념 이해,개념 이해,공식 활용,표준,객관식,2,⑤ 20,중1-2 입학 일반형,2,중1-2_진단평가_문제지.pdf,중1-2_진단평가_해설.pdf,중1-2_진단평가_출제표.csv
중1-2 진단평가,수학,2,기본 도형과 작도,표현 해석,표현 해석,개념 이해,상,객관식,3,③ AD 와 BF 는 평행하다,총괄 기본,4,,,
중1-2 진단평가,수학,3,기본 도형과 작도,개념 이해,개념 이해,근거 제시,상,객관식,3,"② ㄱ, ㄷ",단원 TEST Ⅴ,7,,,
중1-2 진단평가,수학,4,기본 도형과 작도,공식 활용,공식 활용,연산 처리,상,객관식,3,④ 113.5°,중1-2 입학 심화형,5,,,
중1-2 진단평가,수학,5,기본 도형과 작도,근거 제시,근거 제시,개념 이해,상,객관식,3,"①, ⑤",중1-2 입학 일반형,5,,,
중1-2 진단평가,수학,6,기본 도형과 작도,단계별 해결,단계별 해결,표현 해석,최상,서술형,5,100,총괄 심화,22,,,
중1-2 진단평가,수학,7,기본 도형과 작도,근거 제시,근거 제시,개념 이해,최상,객관식,4,"③ l ⊥ P, m ⊥ P 이면 l ∥ m 이다",중1-2 입학 일반형,3,,,
중1-2 진단평가,수학,8,기본 도형과 작도,식 설정,식 설정,연산 처리,최상,서술형,5,6cm,중1-2 입학 일반형,21,,,
중1-2 진단평가,수학,9,평면도형의 성질,공식 활용,공식 활용,연산 처리,표준,객관식,2,② 120°,단원 TEST Ⅵ,11,,,
중1-2 진단평가,수학,10,평면도형의 성질,연산 처리,공식 활용,연산 처리,상,서술형,4,9,총괄 기본,23,,,
중1-2 진단평가,수학,11,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,상,객관식,3,⑤ (16π + 60) m²,총괄 기본,25,,,
중1-2 진단평가,수학,12,평면도형의 성질,근거 제시,근거 제시,공식 활용,상,객관식,3,"② ㄱ, ㄷ",단원 TEST Ⅵ,13,,,
중1-2 진단평가,수학,13,평면도형의 성질,개념 이해,개념 이해,공식 활용,상,객관식,3,② (8π + 16) cm,총괄 심화,10,,,
중1-2 진단평가,수학,14,평면도형의 성질,식 설정,식 설정,단계별 해결,최상,객관식,4,⑤ 28°,총괄 기본,8,,,
중1-2 진단평가,수학,15,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,최상,객관식,4,③ 9/2 π cm^2,단원 TEST Ⅵ,17,,,
중1-2 진단평가,수학,16,평면도형의 성질,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,② 84°,중1-2 입학 일반형,24,,,
중1-2 진단평가,수학,17,입체도형의 성질,식 설정,식 설정,공식 활용,표준,객관식,2,⑤ 십각형,중1-2 입학 일반형,12,,,
중1-2 진단평가,수학,18,입체도형의 성질,표현 해석,표현 해석,개념 이해,상,객관식,3,②,단원 TEST Ⅶ,7,,,
중1-2 진단평가,수학,19,입체도형의 성질,개념 이해,개념 이해,표현 해석,상,객관식,3,④,단원 TEST Ⅶ,9,,,
중1-2 진단평가,수학,20,입체도형의 성질,식 설정,식 설정,공식 활용,상,객관식,3,③ 3cm,중1-2 입학 심화형,16,,,
중1-2 진단평가,수학,21,입체도형의 성질,규칙 발견,규칙 발견,식 설정,최상,객관식,4,③ 12/5 cm,단원 TEST Ⅶ,8,,,
중1-2 진단평가,수학,22,입체도형의 성질,단계별 해결,단계별 해결,표현 해석,최상,객관식,4,② 84π cm²,단원 TEST Ⅶ,16,,,
중1-2 진단평가,수학,23,입체도형의 성질,표현 해석,표현 해석,단계별 해결,최상,서술형,5,972,중1-2 입학 일반형,28,,,
중1-2 진단평가,수학,24,자료의 정리와 해석,개념 이해,개념 이해,근거 제시,표준,객관식,2,"④ 30, 32, 34, 36, 100",단원 TEST Ⅷ,3,,,
중1-2 진단평가,수학,25,자료의 정리와 해석,연산 처리,연산 처리,근거 제시,표준,객관식,2,③ A 에 알맞은 수는 7이다,총괄 응용,18,,,
중1-2 진단평가,수학,26,자료의 정리와 해석,단계별 해결,단계별 해결,개념 이해,상,객관식,3,"③ 중앙값 5, 최빈값 3과 6",단원 TEST Ⅷ,1,,,
중1-2 진단평가,수학,27,자료의 정리와 해석,공식 활용,공식 활용,개념 이해,상,객관식,3,② 200,단원 TEST Ⅷ,11,,,
중1-2 진단평가,수학,28,자료의 정리와 해석,표현 해석,표현 해석,연산 처리,상,객관식,3,② 25%,중1-2 입학 심화형,18,,,
중1-2 진단평가,수학,29,자료의 정리와 해석,연산 처리,연산 처리,개념 이해,상,서술형,4,6명,총괄 응용,29,,,
중1-2 진단평가,수학,30,자료의 정리와 해석,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,④ 7,단원 TEST Ⅷ,2,,,
