시험지,과목,문항번호,단원,유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중2-2 진단평가,수학,1,중2-1 복습 · 식의 계산,연산 처리,표준,객관식,3,③ -45/4,입학 심화형 (중2-1),24,중2-2_진단평가_문제지.pdf,중2-2_진단평가_해설.pdf,중2-2_진단평가_출제표.csv
중2-2 진단평가,수학,2,중2-1 복습 · 식의 계산,연산 처리,상,객관식,3,② 3,응용 (중2-1),9,,,
중2-2 진단평가,수학,3,중2-1 복습 · 식의 계산,연산 처리,상,서술형,5,3/4,심화 (중2-1),5,,,
중2-2 진단평가,수학,4,도형의 성질,공식 활용,표준,객관식,3,100°,응용,3,,,
중2-2 진단평가,수학,5,도형의 성질,개념 이해,상,객관식,3,④,입학 심화형,4,,,
중2-2 진단평가,수학,6,도형의 성질,공식 활용,상,객관식,3,③ 168°,입학 심화형,3,,,
중2-2 진단평가,수학,7,도형의 성질,단계별 해결,상,객관식,3,④ 60°,심화,2,,,
중2-2 진단평가,수학,8,도형의 성질,공식 활용,상,객관식,3,⑤ 13/6,입학 심화형,11,,,
중2-2 진단평가,수학,9,도형의 성질,단계별 해결,상,객관식,3,8 cm,입학 심화형,21,,,
중2-2 진단평가,수학,10,도형의 성질,표현 해석,상,객관식,3,⑤,응용,5,,,
중2-2 진단평가,수학,11,도형의 성질,근거 제시,최상,서술형,5,4 cm²,입학 심화형,22,,,
중2-2 진단평가,수학,12,도형의 성질,단계별 해결,최상,객관식,3,③ 10 cm²,입학 심화형,26,,,
중2-2 진단평가,수학,13,도형의 성질,단계별 해결,최상,객관식,3,③ 70°,입학 심화형,23,,,
중2-2 진단평가,수학,14,도형의 닮음,식 설정,표준,객관식,3,② 3.2 m,심화,11,,,
중2-2 진단평가,수학,15,도형의 닮음,개념 이해,상,객관식,3,"② △ABC∽△DBA, SAS 닮음",입학 심화형,6,,,
중2-2 진단평가,수학,16,도형의 닮음,공식 활용,표준,객관식,3,④ 113,입학 심화형,15,,,
중2-2 진단평가,수학,17,도형의 닮음,표현 해석,상,객관식,3,① 56 cm,입학 심화형,13,,,
중2-2 진단평가,수학,18,도형의 닮음,규칙 발견,상,객관식,3,⑤ 76 cm³,입학 심화형,10,,,
중2-2 진단평가,수학,19,도형의 닮음,단계별 해결,표준,객관식,3,23/2,입학 심화형,9,,,
중2-2 진단평가,수학,20,도형의 닮음,공식 활용,상,서술형,5,96/13,응용,11,,,
중2-2 진단평가,수학,21,도형의 닮음,근거 제시,최상,객관식,3,④ △BCA,입학 심화형,14,,,
중2-2 진단평가,수학,22,도형의 닮음,규칙 발견,최상,객관식,3,③ 27 cm²,심화,27,,,
중2-2 진단평가,수학,23,도형의 닮음,단계별 해결,최상,서술형,5,7/2 cm,입학 심화형,28,,,
중2-2 진단평가,수학,24,확률,개념 이해,표준,객관식,3,⑤,입학 심화형,16,,,
중2-2 진단평가,수학,25,확률,공식 활용,표준,객관식,3,③ 120,응용,16,,,
중2-2 진단평가,수학,26,확률,규칙 발견,상,객관식,3,7,입학 심화형,17,,,
중2-2 진단평가,수학,27,확률,표현 해석,상,객관식,3,18가지,심화,18,,,
중2-2 진단평가,수학,28,확률,식 설정,상,객관식,3,20개,입학 심화형,30,,,
중2-2 진단평가,수학,29,확률,근거 제시,최상,객관식,3,3/25,입학 심화형,19,,,
중2-2 진단평가,수학,30,확률,식 설정,최상,서술형,5,1/20,심화,30,,,
