시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중1-1 진단평가,수학,1,소인수분해,공식 활용,공식 활용,식 설정,상,서술형,4,4,총괄 기본,21,중1-1_진단평가_문제지.pdf,중1-1_진단평가_해설.pdf,중1-1_진단평가_출제표.csv
중1-1 진단평가,수학,2,소인수분해,공식 활용,공식 활용,,상,객관식,3,⑤ 35,단원 TEST Ⅰ,3,,,
중1-1 진단평가,수학,3,소인수분해,공식 활용,공식 활용,연산 처리,상,객관식,3,② 3,단원 TEST Ⅰ,5,,,
중1-1 진단평가,수학,4,소인수분해,규칙 발견,단계별 해결,규칙 발견,최상,객관식,4,④ 14,단원 TEST Ⅰ,12,,,
중1-1 진단평가,수학,5,소인수분해,공식 활용,공식 활용,개념 이해,최상,객관식,4,③ 40/7,단원 TEST Ⅰ,15,,,
중1-1 진단평가,수학,6,소인수분해,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,① 60,중1-1 입학 심화형,2,,,
중1-1 진단평가,수학,7,정수와 유리수,단계별 해결,단계별 해결,개념 이해,상,객관식,3,30,총괄 기본,24,,,
중1-1 진단평가,수학,8,정수와 유리수,식 설정,식 설정,규칙 발견,상,객관식,3,① 32,단원 TEST Ⅱ,6,,,
중1-1 진단평가,수학,9,정수와 유리수,공식 활용,공식 활용,연산 처리,상,객관식,3,② 5/6,단원 TEST Ⅱ,19,,,
중1-1 진단평가,수학,10,정수와 유리수,표현 해석,표현 해석,단계별 해결,상,객관식,3,④ -13/8,총괄 심화,9,,,
중1-1 진단평가,수학,11,정수와 유리수,연산 처리,연산 처리,개념 이해,상,객관식,3,26,중1-1 입학 심화형,25,,,
중1-1 진단평가,수학,12,정수와 유리수,개념 이해,개념 이해,연산 처리,상,객관식,3,③,총괄 응용,6,,,
중1-1 진단평가,수학,13,정수와 유리수,근거 제시,근거 제시,개념 이해,상,객관식,3,"①, ④",중1-1 입학 일반형,7,,,
중1-1 진단평가,수학,14,정수와 유리수,규칙 발견,규칙 발견,식 설정,최상,서술형,5,21,단원 TEST Ⅱ,9,,,
중1-1 진단평가,수학,15,문자와 식,표현 해석,표현 해석,,표준,객관식,2,④ a/2b - 6x/y,단원 TEST Ⅲ,1,,,
중1-1 진단평가,수학,16,문자와 식,표현 해석,표현 해석,근거 제시,표준,객관식,2,③,단원 TEST Ⅲ,2,,,
중1-1 진단평가,수학,17,문자와 식,개념 이해,개념 이해,식 설정,표준,객관식,2,⑤ -5,총괄 심화,11,,,
중1-1 진단평가,수학,18,문자와 식,근거 제시,근거 제시,연산 처리,표준,객관식,2,③ a = 2b 이면 a + 1 = 2b + 1 이다,중1-1 입학 심화형,13,,,
중1-1 진단평가,수학,19,문자와 식,연산 처리,연산 처리,표현 해석,상,서술형,4,34,총괄 기본,25,,,
중1-1 진단평가,수학,20,문자와 식,연산 처리,연산 처리,,상,객관식,3,② x = -32,중1 입학 일반형,7,,,
중1-1 진단평가,수학,21,문자와 식,개념 이해,개념 이해,식 설정,최상,객관식,4,③ 5,단원 TEST Ⅲ,10,,,
중1-1 진단평가,수학,22,문자와 식,식 설정,식 설정,개념 이해,최상,객관식,4,② 75,단원 TEST Ⅲ,19,,,
중1-1 진단평가,수학,23,문자와 식,단계별 해결,단계별 해결,식 설정,최상,객관식,4,8,중1-1 입학 심화형,24,,,
중1-1 진단평가,수학,24,문자와 식,식 설정,식 설정,연산 처리,최상,서술형,5,72세,중1-1 입학 일반형,26,,,
중1-1 진단평가,수학,25,그래프와 비례,규칙 발견,개념 이해,규칙 발견,표준,객관식,2,② 8,단원 TEST Ⅳ,2,,,
중1-1 진단평가,수학,26,그래프와 비례,표현 해석,표현 해석,근거 제시,상,객관식,3,② 아래가 넓고 위가 좁은 원뿔대,총괄 기본,16,,,
중1-1 진단평가,수학,27,그래프와 비례,개념 이해,개념 이해,규칙 발견,상,객관식,3,③ 16,총괄 심화,19,,,
중1-1 진단평가,수학,28,그래프와 비례,단계별 해결,단계별 해결,공식 활용,상,서술형,4,16,총괄 응용,28,,,
중1-1 진단평가,수학,29,그래프와 비례,근거 제시,근거 제시,개념 이해,최상,객관식,4,②,단원 TEST Ⅳ,17,,,
중1-1 진단평가,수학,30,그래프와 비례,단계별 해결,단계별 해결,식 설정,최상,객관식,4,120,중1-1 입학 일반형,30,,,
