문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,소인수분해,개념 이해,개념 이해,근거 제시,표준,객관식,2,중1 입학 일반형,1,③
2,소인수분해,공식 활용,공식 활용,단계별 해결,상,객관식,3,총괄 응용,4,④ 15장
3,소인수분해,규칙 발견,단계별 해결,규칙 발견,최상,객관식,4,단원 TEST Ⅰ,4,② 8개
4,소인수분해,규칙 발견,단계별 해결,규칙 발견,최상,객관식,4,단원 TEST Ⅰ,10,⑤ 10
5,소인수분해,공식 활용,공식 활용,개념 이해,최상,객관식,4,단원 TEST Ⅰ,15,③ 40/7
6,소인수분해,단계별 해결,단계별 해결,규칙 발견,최상,서술형,5,중1-1 입학 일반형,22,12
7,정수와 유리수,표현 해석,표현 해석,,표준,객관식,2,단원 TEST Ⅱ,1,⑤
8,정수와 유리수,개념 이해,개념 이해,연산 처리,표준,객관식,2,단원 TEST Ⅱ,2,③
9,정수와 유리수,공식 활용,공식 활용,연산 처리,상,객관식,3,단원 TEST Ⅱ,19,② 5/6
10,정수와 유리수,표현 해석,표현 해석,단계별 해결,상,객관식,3,총괄 심화,9,④ -13/8
11,정수와 유리수,연산 처리,연산 처리,개념 이해,상,서술형,4,중1-1 입학 심화형,25,26
12,정수와 유리수,근거 제시,근거 제시,개념 이해,상,객관식,3,중1-1 입학 일반형,7,"①, ④"
13,정수와 유리수,연산 처리,연산 처리,,상,객관식,3,중1-1 입학 일반형,9,④ 42
14,정수와 유리수,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,단원 TEST Ⅱ,15,"④ a > 0, b > 0, c < 0"
15,문자와 식,표현 해석,표현 해석,근거 제시,표준,객관식,2,단원 TEST Ⅲ,2,③
16,문자와 식,개념 이해,개념 이해,연산 처리,상,객관식,3,총괄 기본,11,⑤
17,문자와 식,근거 제시,근거 제시,연산 처리,상,객관식,3,단원 TEST Ⅲ,7,⑤
18,문자와 식,단계별 해결,단계별 해결,표현 해석,상,서술형,4,총괄 심화,26,3
19,문자와 식,연산 처리,연산 처리,,상,객관식,3,총괄 응용,14,③ x = -1
20,문자와 식,연산 처리,연산 처리,,상,객관식,3,중1-1 입학 일반형,13,⑤ 25/2
21,문자와 식,식 설정,식 설정,연산 처리,최상,객관식,4,총괄 기본,28,③ 60 km
22,문자와 식,식 설정,식 설정,단계별 해결,최상,객관식,4,단원 TEST Ⅲ,13,③ 36 cm
23,문자와 식,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,총괄 심화,12,① 8
24,문자와 식,개념 이해,개념 이해,근거 제시,최상,서술형,5,중1 입학 일반형,23,7
25,그래프와 비례,규칙 발견,개념 이해,규칙 발견,표준,객관식,2,단원 TEST Ⅳ,2,② 8
26,그래프와 비례,표현 해석,표현 해석,근거 제시,상,객관식,3,총괄 기본,16,② 아래가 넓고 위가 좁은 원뿔대
27,그래프와 비례,단계별 해결,단계별 해결,공식 활용,상,객관식,3,단원 TEST Ⅳ,7,② 40
28,그래프와 비례,식 설정,식 설정,개념 이해,상,서술형,4,단원 TEST Ⅳ,18,12
29,그래프와 비례,표현 해석,표현 해석,규칙 발견,상,객관식,3,중1-1 입학 심화형,20,⑤ 1/2 <= a <= 8
30,그래프와 비례,근거 제시,근거 제시,개념 이해,최상,객관식,4,단원 TEST Ⅳ,17,②
