문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,도형의 방정식,연산 처리,연산 처리,공식 활용,표준,객관식,2,총괄 응용,3,④ 6
2,도형의 방정식,식 설정,식 설정,연산 처리,표준,객관식,2,공통수학2 입학 일반형,2,④ 9
3,도형의 방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,총괄 기본,4,① -√3 < m < √3
4,도형의 방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,단원 TEST Ⅰ,13,③ -30
5,도형의 방정식,근거 제시,근거 제시,단계별 해결,상,서술형,4,단원 TEST Ⅰ,16,3
6,도형의 방정식,식 설정,식 설정,공식 활용,상,객관식,3,총괄 심화,4,④ 2 + √2
7,도형의 방정식,근거 제시,근거 제시,공식 활용,상,객관식,3,공통수학2 입학 심화형,6,③ 3√7
8,도형의 방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,공통수학2 입학 일반형,3,④ 15
9,도형의 방정식,단계별 해결,단계별 해결,근거 제시,상,서술형,4,공통수학2 입학 일반형,23,1
10,도형의 방정식,규칙 발견,규칙 발견,표현 해석,최상,객관식,4,공통수학2 입학 일반형,4,③ 0
11,집합과 명제,규칙 발견,규칙 발견,표현 해석,표준,객관식,2,총괄 기본,9,④ A = {x | × 는 4로 나눈 나머지가 2인 자연수}
12,집합과 명제,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅱ,1,"⑤ ㄱ, ㄷ"
13,집합과 명제,식 설정,식 설정,단계별 해결,상,객관식,3,총괄 기본,15,① 1
14,집합과 명제,공식 활용,공식 활용,연산 처리,상,서술형,4,총괄 기본,26,2
15,집합과 명제,규칙 발견,규칙 발견,단계별 해결,상,객관식,3,총괄 심화,6,③ 11
16,집합과 명제,식 설정,식 설정,단계별 해결,상,서술형,4,총괄 심화,27,3
17,집합과 명제,개념 이해,개념 이해,근거 제시,상,객관식,3,공통수학2 입학 심화형,11,"⑤ a, b, c 중에서 서로 다른 것이 적어도 하나 있다"
18,집합과 명제,표현 해석,표현 해석,단계별 해결,상,객관식,3,총괄 응용,8,"④ {2, 3, 4, 5, 6}"
19,집합과 명제,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,공통수학2 입학 심화형,12,③ P^C ⊂ R^C
20,함수와 그래프,연산 처리,연산 처리,개념 이해,표준,객관식,2,공통수학2 입학 일반형,14,① -8
21,함수와 그래프,단계별 해결,단계별 해결,연산 처리,상,객관식,3,단원 TEST Ⅲ,8,③ 13/3
22,함수와 그래프,표현 해석,표현 해석,개념 이해,상,객관식,3,총괄 심화,17,"⑤ ㄴ, ㄷ"
23,함수와 그래프,표현 해석,표현 해석,근거 제시,최상,객관식,4,단원 TEST Ⅲ,6,④ d
24,함수와 그래프,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,단원 TEST Ⅲ,11,② 6√2
25,함수와 그래프,근거 제시,근거 제시,단계별 해결,최상,객관식,4,단원 TEST Ⅲ,12,③ 0
26,함수와 그래프,근거 제시,근거 제시,식 설정,최상,객관식,4,단원 TEST Ⅲ,15,③ 1/2 ≤ m ≤ 7
27,함수와 그래프,규칙 발견,규칙 발견,단계별 해결,최상,서술형,5,총괄 심화,29,8
28,함수와 그래프,규칙 발견,규칙 발견,단계별 해결,최상,객관식,4,공통수학2 입학 심화형,14,③ 24
29,함수와 그래프,개념 이해,개념 이해,연산 처리,최상,객관식,4,공통수학2 입학 심화형,29,① -1
30,함수와 그래프,개념 이해,개념 이해,단계별 해결,최상,객관식,4,총괄 응용,15,"⑤ ㄱ, ㄷ, ㄹ"
