문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,유리수와 순환소수,식 설정,식 설정,개념 이해,표준,객관식,2,총괄 심화,2,③ 51
2,유리수와 순환소수,근거 제시,근거 제시,공식 활용,상,객관식,3,단원 TEST Ⅰ,19,"⑤ ㄴ, ㄷ, ㅁ"
3,유리수와 순환소수,표현 해석,표현 해석,연산 처리,상,객관식,3,총괄 심화,21,④ 15
4,유리수와 순환소수,개념 이해,개념 이해,근거 제시,상,객관식,3,중2-1 입학 일반형,3,⑤
5,유리수와 순환소수,규칙 발견,규칙 발견,연산 처리,최상,주관식,5,중2-1 입학 일반형,22,356
6,식의 계산,공식 활용,공식 활용,연산 처리,표준,주관식,3,단원 TEST Ⅱ,1,4
7,식의 계산,식 설정,식 설정,연산 처리,상,객관식,3,총괄 기본,6,③ xy^2 - 2y
8,식의 계산,식 설정,식 설정,연산 처리,상,객관식,3,단원 TEST Ⅱ,7,② 3x²y^2
9,식의 계산,연산 처리,연산 처리,식 설정,상,객관식,3,총괄 심화,6,② -(2/3)y
10,식의 계산,단계별 해결,단계별 해결,연산 처리,최상,객관식,4,총괄 응용,8,③ 12
11,식의 계산,단계별 해결,단계별 해결,연산 처리,최상,객관식,4,중2-1 입학 일반형,23,③ -55
12,부등식,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅲ,2,④ -7a - 1 < -7b - 1
13,부등식,표현 해석,표현 해석,근거 제시,상,객관식,3,단원 TEST Ⅲ,1,"①, ④"
14,부등식,표현 해석,표현 해석,연산 처리,상,객관식,3,총괄 심화,8,"③, ④"
15,부등식,연산 처리,연산 처리,근거 제시,상,객관식,3,중2-1 입학 심화형,9,② x - 4x > -6
16,부등식,근거 제시,근거 제시,단계별 해결,최상,객관식,4,총괄 기본,9,④ 11
17,부등식,규칙 발견,규칙 발견,식 설정,최상,주관식,5,총괄 응용,13,238g
18,방정식,개념 이해,개념 이해,연산 처리,표준,객관식,2,단원 TEST Ⅳ,2,④ 0
19,방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,총괄 기본,12,② -2
20,방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,총괄 기본,26,"④ x = 1, y = 4"
21,방정식,개념 이해,개념 이해,공식 활용,상,객관식,3,단원 TEST Ⅳ,10,④ 4
22,방정식,규칙 발견,규칙 발견,단계별 해결,최상,주관식,5,총괄 기본,13,8
23,방정식,식 설정,식 설정,연산 처리,최상,객관식,4,단원 TEST Ⅳ,16,③ 1500원
24,일차함수,공식 활용,공식 활용,연산 처리,표준,객관식,2,단원 TEST Ⅴ,10,① -10
25,일차함수,개념 이해,개념 이해,근거 제시,상,객관식,3,총괄 기본,16,"②, ④"
26,일차함수,단계별 해결,단계별 해결,표현 해석,상,객관식,3,단원 TEST Ⅴ,16,② 27/8
27,일차함수,단계별 해결,단계별 해결,공식 활용,상,객관식,3,총괄 응용,28,④ 3
28,일차함수,근거 제시,근거 제시,표현 해석,최상,객관식,4,총괄 기본,20,③ 3/5 <= a <= 3
29,일차함수,식 설정,식 설정,표현 해석,최상,객관식,4,중2-1 입학 심화형,18,② 21초
30,일차함수,표현 해석,표현 해석,공식 활용,최상,주관식,5,중2-1 입학 심화형,19,2/3
