시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
공통수학1 진단평가,수학,1,다항식,연산 처리,연산 처리,공식 활용,표준,객관식,2,④ 4x³ - 6x² + 2x,총괄 기본,1,공통수학1_진단평가_문제지.pdf,공통수학1_진단평가_해설.pdf,공통수학1_진단평가_출제표.csv
공통수학1 진단평가,수학,2,다항식,연산 처리,연산 처리,근거 제시,표준,객관식,2,④,총괄 기본,4,,,
공통수학1 진단평가,수학,3,다항식,개념 이해,개념 이해,표현 해석,상,객관식,3,"③ (1/3)Q(x), R",단원 TEST Ⅰ,11,,,
공통수학1 진단평가,수학,4,다항식,표현 해석,표현 해석,연산 처리,상,객관식,3,④ 3x² - 7x + 11,총괄 심화,1,,,
공통수학1 진단평가,수학,5,다항식,공식 활용,공식 활용,단계별 해결,상,객관식,3,① 10,공통수학1 입학 일반형,2,,,
공통수학1 진단평가,수학,6,다항식,단계별 해결,단계별 해결,근거 제시,상,객관식,3,"⑤ ㄱ, ㄷ, ㄹ, ㅁ",공통수학1 입학 일반형,5,,,
공통수학1 진단평가,수학,7,다항식,표현 해석,표현 해석,단계별 해결,최상,주관식,5,38,단원 TEST Ⅰ,19,,,
공통수학1 진단평가,수학,8,다항식,규칙 발견,규칙 발견,공식 활용,최상,객관식,4,① -3,총괄 응용,6,,,
공통수학1 진단평가,수학,9,방정식과 부등식,연산 처리,연산 처리,공식 활용,표준,객관식,2,③ 3,총괄 기본,7,,,
공통수학1 진단평가,수학,10,방정식과 부등식,근거 제시,근거 제시,개념 이해,상,객관식,3,④,총괄 기본,6,,,
공통수학1 진단평가,수학,11,방정식과 부등식,표현 해석,표현 해석,단계별 해결,상,객관식,3,① -3,총괄 기본,8,,,
공통수학1 진단평가,수학,12,방정식과 부등식,규칙 발견,규칙 발견,표현 해석,상,객관식,3,① 2,단원 TEST Ⅱ,6,,,
공통수학1 진단평가,수학,13,방정식과 부등식,공식 활용,공식 활용,단계별 해결,상,주관식,4,6,단원 TEST Ⅱ,17,,,
공통수학1 진단평가,수학,14,방정식과 부등식,단계별 해결,단계별 해결,식 설정,상,객관식,3,① -7,총괄 응용,14,,,
공통수학1 진단평가,수학,15,방정식과 부등식,식 설정,식 설정,단계별 해결,상,객관식,3,④ 1,공통수학1 입학 일반형,6,,,
공통수학1 진단평가,수학,16,방정식과 부등식,단계별 해결,단계별 해결,규칙 발견,상,객관식,3,① 5,공통수학1 입학 일반형,9,,,
공통수학1 진단평가,수학,17,방정식과 부등식,개념 이해,개념 이해,근거 제시,최상,객관식,4,⑤,단원 TEST Ⅱ,1,,,
공통수학1 진단평가,수학,18,방정식과 부등식,식 설정,식 설정,단계별 해결,최상,주관식,5,6,단원 TEST Ⅱ,20,,,
공통수학1 진단평가,수학,19,방정식과 부등식,근거 제시,근거 제시,단계별 해결,최상,객관식,4,③ 3,공통수학1 입학 심화형,7,,,
공통수학1 진단평가,수학,20,방정식과 부등식,규칙 발견,규칙 발견,단계별 해결,최상,객관식,4,② -1,공통수학1 입학 심화형,11,,,
공통수학1 진단평가,수학,21,방정식과 부등식,공식 활용,공식 활용,단계별 해결,최상,객관식,4,④ -2,총괄 응용,9,,,
공통수학1 진단평가,수학,22,경우의 수,공식 활용,공식 활용,단계별 해결,표준,객관식,2,② 144,총괄 기본,16,,,
공통수학1 진단평가,수학,23,경우의 수,규칙 발견,규칙 발견,공식 활용,상,객관식,3,④ 576,단원 TEST Ⅲ,6,,,
공통수학1 진단평가,수학,24,경우의 수,근거 제시,근거 제시,공식 활용,상,객관식,3,① 15,단원 TEST Ⅲ,9,,,
공통수학1 진단평가,수학,25,경우의 수,공식 활용,공식 활용,근거 제시,상,객관식,3,① 36,공통수학1 입학 심화형,17,,,
공통수학1 진단평가,수학,26,경우의 수,단계별 해결,단계별 해결,근거 제시,상,객관식,3,③ 1280,공통수학1 입학 일반형,14,,,
공통수학1 진단평가,수학,27,경우의 수,식 설정,식 설정,단계별 해결,최상,객관식,4,① 2,총괄 심화,17,,,
공통수학1 진단평가,수학,28,경우의 수,단계별 해결,단계별 해결,공식 활용,최상,주관식,5,10,공통수학1 입학 일반형,29,,,
공통수학1 진단평가,수학,29,행렬,개념 이해,개념 이해,표현 해석,표준,객관식,2,"③ ㄴ, ㄷ",총괄 기본,19,,,
공통수학1 진단평가,수학,30,행렬,규칙 발견,규칙 발견,단계별 해결,최상,주관식,5,5,총괄 기본,30,,,
