문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,삼각비,공식 활용,공식 활용,연산 처리,표준,객관식,2,중3-2 입학 일반형,1,② 31/17
2,삼각비,규칙 발견,규칙 발견,공식 활용,상,객관식,3,총괄 기본,5,⑤ 6√3
3,삼각비,표현 해석,표현 해석,식 설정,상,객관식,3,단원 TEST Ⅴ,6,① 4
4,삼각비,근거 제시,근거 제시,단계별 해결,상,객관식,3,단원 TEST Ⅴ,7,④ 3/5
5,삼각비,개념 이해,개념 이해,규칙 발견,상,서술형,4,단원 TEST Ⅴ,18,2
6,삼각비,개념 이해,개념 이해,근거 제시,상,객관식,3,총괄 심화,2,③
7,삼각비,단계별 해결,단계별 해결,연산 처리,상,객관식,3,총괄 응용,1,① 2√5 cm
8,삼각비,연산 처리,연산 처리,공식 활용,상,객관식,3,중3-2 입학 일반형,2,③ (√5 + 2)/2
9,삼각비,식 설정,식 설정,연산 처리,상,객관식,3,중3-2 입학 일반형,7,③ 32 cm
10,삼각비,단계별 해결,단계별 해결,표현 해석,최상,객관식,4,총괄 심화,6,③ 3√3/8
11,삼각비,규칙 발견,규칙 발견,개념 이해,최상,서술형,5,총괄 응용,22,120
12,원의 성질,공식 활용,공식 활용,개념 이해,표준,객관식,2,총괄 기본,10,⑤ 135°
13,원의 성질,공식 활용,공식 활용,근거 제시,표준,객관식,2,중3-2 입학 일반형,9,⑤ 8√3 cm
14,원의 성질,근거 제시,근거 제시,연산 처리,상,객관식,3,단원 TEST Ⅵ,1,① 4√10 cm
15,원의 성질,단계별 해결,단계별 해결,근거 제시,상,객관식,3,단원 TEST Ⅵ,2,② 30°
16,원의 성질,규칙 발견,규칙 발견,근거 제시,최상,객관식,4,총괄 기본,12,② 115°
17,원의 성질,식 설정,식 설정,단계별 해결,최상,객관식,4,단원 TEST Ⅵ,9,② 4π cm²
18,원의 성질,표현 해석,표현 해석,근거 제시,최상,객관식,4,단원 TEST Ⅵ,15,"③ ∠x = 75°, ∠y = 64°"
19,원의 성질,근거 제시,근거 제시,식 설정,최상,객관식,4,총괄 심화,11,② 3
20,원의 성질,단계별 해결,단계별 해결,규칙 발견,최상,서술형,5,중3-2 입학 심화형,26,18
21,원의 성질,규칙 발견,규칙 발견,근거 제시,최상,객관식,4,총괄 응용,12,④ 60°
22,원의 성질,식 설정,식 설정,단계별 해결,최상,서술형,5,총괄 응용,25,3
23,통계,연산 처리,연산 처리,식 설정,표준,객관식,2,단원 TEST Ⅶ,2,③ 9
24,통계,개념 이해,개념 이해,표현 해석,표준,객관식,2,총괄 응용,17,③ 공무원
25,통계,개념 이해,개념 이해,근거 제시,상,객관식,3,단원 TEST Ⅶ,3,②
26,통계,근거 제시,근거 제시,개념 이해,상,객관식,3,단원 TEST Ⅶ,12,③
27,통계,표현 해석,표현 해석,연산 처리,상,서술형,4,단원 TEST Ⅶ,19,46
28,통계,규칙 발견,규칙 발견,공식 활용,상,객관식,3,중3-2 입학 심화형,20,"④ 87점, 16"
29,통계,연산 처리,연산 처리,표현 해석,상,객관식,3,중3-2 입학 일반형,18,⑤
30,통계,식 설정,식 설정,단계별 해결,최상,객관식,4,단원 TEST Ⅶ,8,③ 60
